Image ID,vehicle.n.01,timepiece.n.01,electronic_equipment.n.01,plaything.n.01,building.n.01,clothing.n.01,animal.n.01,writing_implement.n.01,kitchen_utensil.n.01,furniture.n.01,food.n.01,musical_instrument.n.01,weapon.n.01,sun.n.01,jewelry.n.01,body_of_water.n.01,plant.n.02,hand_tool.n.01,sky.n.01,tableware.n.01,bag.n.01,home_appliance.n.01,mountain.n.01,body_part.n.01,person.n.01
0f2358e793950ca0,1,,,,,1,,,,,,,,,,,1,,,,,,,,1
0f5268b184ffcf29,,,,,1,,1,,,,,,,,,,,,1,,,,,,1
0ffd60b1660d127e,,,,,,,,,,1,,,,,,1,,,,1,1,,,,
01a500135407b136,,,,,,1,,,,1,1,,,,,,,,,,,,,,
01b6066f2247bd4b,,,,,,,,,1,1,1,,,,,,,,,1,,,,1,
01c715ada9a9b193,,,,,,,,,,1,1,,,,,,1,,,1,,,,,
01d1c8c162ae025d,1,,,,,,,,,,,,,,,,,,,,,,,,
01f5c22d73bfed30,,,,,,,1,,,1,,,,1,,,,,,,,,,,
01fdc956f59149b3,,,,,,,,,,1,,,,,,,,,,,,,,,
1a4ff16a61ff121a,,,,,1,,,,,1,,,,,,,1,,,,,,,,
1a5d5baf28dc3b70,,,,,1,,,,,,,,,,,,,,,,,,,,
1a8f87cf584e7711,,,,,1,,,,,,,,,,,,,,1,,,,,,
1a9f816b290661a0,,,,,,,1,,,,,,,,,,,,,,,,,1,
1a023cfa4e6b7129,,,1,,,,,,,,,,,,,,,,,,,,,,
1a2524edfcd1f652,,,,,,,1,,,,1,,,,,1,1,,,,,,,1,
1a156849a45ceb8f,,,,,,,,,,1,,,,,,1,,,1,,,,,,
1ae713720afff9cf,,,,,,,,,,1,1,,,,,,,,,1,,,,,
1af752b509c87694,,,,,1,1,1,,,,,,,,,,1,,1,,,,,1,1
1b4d13dac6d9bb02,1,,,,,,,,,,,,,,,,,,,,,,,,
1b5fb498835e39fb,,,,,,,,,,1,1,,,,,,,,,,,,,,
1b6a1bef73ac2e19,,,,,,,1,,,,,,,,,,,,,,,,,,
1b73aad62a517097,,1,1,,,,,,,1,,,,,,,,,,,,,,,
1b277c74657f5775,,,,,1,,,,,,,,,,,,1,,1,,,,,,
1b510a792faeff6d,1,,,,1,,,,,,,,,,,,1,,1,,,,,,1
1be81ca653fca78b,1,,,,,,,,,,,,,,,,,,,,,,,,
1c2a29feb56cfcb6,,,,,,1,1,,,,,,,,,,1,,,,1,,,1,1
1c3c1eaf93780a8e,,,,,,,,,,1,,,,,,,,,,,,,,,
1c4d76f4dc92008d,,,,,,,1,,,,,,,,,,,,,,,,,1,
1c5aca126a0d7d59,,,,,,,1,,,,,,,,,,,,,,,,,1,
1c6df6576a77f4d4,,,1,,,,,,,1,,,,,,,,,,,,,,,
1c602d3445ab60a7,,,,,,,1,,,,,,,,,,1,,,,,,,1,
1c4018f41fc66e97,,,1,,,,,,,1,,,,,,,,,,,,,,,
1d4e9656f00a54d5,,,,,,,,,,,1,,,,,,1,,1,,,,,,
1d7c7320a508643f,,,,,1,,1,,,,,,,,,,1,,,,,,,1,1
1d9f21ae0f54a074,,,,,1,1,,,,,,,,,,,,,,,,,,1,1
1d56ac8ab97e70a6,,,,,,,,,,,,,,,,,,,,,,,,,
1d224f496033e60d,,,,,,,,,,,,,,,,,1,,,,,,,,
1d237d04ea78e0bc,,,,,1,1,,,,,,,,,,,,,,,,,,1,1
1d617e33b2974afc,1,,,,1,1,,,,,,,,,,,1,,,,,,,1,1
1d2651922a41ce31,,,,,,1,,,,,1,,,,,,1,,,,,,,1,1
1daa883d19ac56a7,,,,,1,,,,,,,,,,,,,,1,,,,,,1
1e5c11ab90d37668,,,1,,,,,,,1,,,,,,,,,,,,,,,
1e46de4cd35ba2cb,1,,,,,,,,,,,,,,,,1,,1,,,,,,1
1e95bbeb6ab5ad60,,,,,1,,,,,,,,,,,,1,,1,,,,,,
1e6104d5518cb3f9,,,,,,,,,,1,1,,,,,,,,,1,,,,,
1ead5312df1f0710,,,,,,1,1,,,1,,,,,,,,,,,,,,1,1
1ed7034f23d49bbd,,,,,,,1,,,1,,,,,,,,,,,,,,1,
1efc8d87eaf351e4,,,,,,,,,,1,1,,,,,,,,,1,,,,,
1efc72f84699ec3d,,,,,,,,,,,,,,,,,1,,,,,,,,
1f0e7b8d37fec45b,,,,,1,,,,,1,,,,,,,,,,,,,,,
1f1f40ba55fc476d,,,,,,,1,,,1,,,,,,,,,,,,,,1,
1f5cf6e96f0e0690,,,1,,,,,,,1,,,,,,,,,,,,,,,1
1f6e3d1e95c4b95e,,,,,,,,,,1,,,,,,,,,,,,,,,
1f5722ffe2e7dffc,1,,,,1,1,1,,,,1,,,,,1,,,,,,,,1,1
1f25898fa5004f23,,,1,,1,,,,,,,,,,,,,,,,,,,,
1fc0cdfb7619ec1a,,,,,,,,,,,1,,,,,,1,,,,,,,,
1fca4e8814de1ef8,,,,,,,1,,,,,,,,,,1,,,,,,,1,
02c2d738fbe1b585,1,,,,,,,,,,,,,,,,,,,,,,,,
02ceda7dc7da5160,,,,,1,1,,,,1,,,,,,,,,,,,,,1,1
02ec05fac2e747a6,,,,,,,,,,,1,,,,,,,,,1,,,,,
02f3a888909fa7d0,1,,,,1,,,,,,,,,,,1,1,,1,,,,,,1
2a1c6851b7d4872e,,,,,,1,1,,,,,,,,,,1,,,,1,,,1,1
2a4f58597b6410b8,,,,,1,,,,,,,,,,,,,,,,,,,,
2a8b0851b24d0a36,,,,,,1,,,,1,,,,,,,1,,,,,,,1,1
2a14db3a0316bc65,,,1,,,1,,,,1,,,,,,,,,,,,,,1,1
2a21ce7b99301cce,1,,,,,1,,,,1,,,,,,,,,,,,,1,1,1
2a49b0f7a35e79c5,,,,,,,,,,,,,,,,,,,,,,,,1,1
2a51c0fd2be729f4,,,,,1,1,,,,,,,,,,,1,,1,,,,,1,1
2a2109a401c6b9ac,,,1,,,1,,,,1,,,1,,,,,,,,,,,1,1
2a5101e8b9166d1b,,,,,1,,,,,,,,,,,,1,,,,,,,,
2a7862c5c20bf762,1,,,,1,,,,,,,,,,,,1,,1,,,,,,
2a171958c979c489,,,,,1,,,,,,,,,,,,1,,1,,,,,,
2a1299450c68def6,,,,,,,,,,,1,,,,,,1,,,,,,,,
2a5865456ba547df,,,,,,,,,,1,1,,,,,,,,,1,,,,,
2a26333210fc9b43,,,,,,,1,,,,,,,,,1,,,,,,,1,1,
2a44575354daee05,,,,,1,1,,,,1,,,,,,,,,,,,,,1,1
2aaf990adc8a5c20,,,,,1,1,,,,,,,,,,1,1,,,,,,,1,1
2ab18b8a310885b9,,,,,,1,,,,,,,,,,,,,,,,,,,
2ad839da9aa6c2d5,,,,,1,,,,,,,,,,,,1,,1,,,,1,,
2ae532da1478e448,1,,,,,1,,,,,,,,,,,,,,,,,,1,1
2af9c386f565f8ab,,,,,,,,,,1,1,,,,,,,,,1,,,,1,1
2b0d24e40261ed1a,,,,,,,,,1,1,1,,,,,,,,,1,,,,,
2b3d97d2c08ab532,,,,,1,1,,,,1,,,,,,,,,1,,,,,1,1
2b3e0f77fe71147a,,,,,1,,,,,1,1,,,,,,1,,,1,,,,,
2b4d0d8723105e02,,,,,1,,,,,,,,,,,1,1,,1,,,,,,
2b026d9fa98be55e,,,,,1,,,,,,,,,,,,,,,,,,,,1
2ba49b22d9e1a93e,,,,,1,1,,,,,,,,,,,1,,,,,,,,1
2ba77682286809e2,,,1,,1,1,,,,,,,,,,,1,,,,,,,1,1
2bac4cbaa3859a6b,,,,,,,,,,,1,,,,,,,,,1,,,,,
2bc6a018199e415c,1,,,,,1,1,,,,,,,,,,1,,1,,,,,1,1
2bce96edbc1277c4,,,,,1,,,,,,,,,,,,1,,1,,,,,,1
2c0ede2d5afce7a5,1,,,,,1,1,,,,,,,,,,1,,,,1,,,1,1
2c4f3120bdecea31,,,,,,,,,,,,,,,,,1,,,,,,,,1
2c8e0a0542313538,,,,,,,,,,,,,,,,,1,,,,,,,,
2c651e1f83c6e106,,,,,,1,,,,1,,,,,,,,,,,,,,,
2c669fb18d6755de,,,,,,1,,,,,,,,,,,,,,,,,,1,1
2ca77482bdacd63c,,,1,,,1,,,,,,,,,,,1,,,,,,,1,1
2cacd956845cb113,,,,,,,,,,,1,,,,,,1,,,,,,,,
2cb06bf4e749ec65,,,,,1,,,,,,,,,,,,1,,,,,,,,
2cebeb05d5c50af4,,,,,,,,,,1,,,,,,,,,,,,,,,
2cff67b07b9d2397,,,,,,,,,,1,1,,,,,,,,,1,,,,,
2d6eef206095ba72,,,,,1,1,,,1,1,,,,,,,,,,1,,1,,1,1
2d8f13ccb86d9eeb,,,1,,,,,,,,,,,,,,,,,,,,,1,1
2d48f380fe2bb808,,,,,,,,,,,,,,,,,,,,,,,,1,
2d463c6c92a49946,,,1,,,,,,,1,,,,,,,,,,,,,,,
2d520f35a206b4f9,,,,,1,1,,,,,,,,,,,,,,,1,,,1,1
2d8761469b60ba90,,,,,1,1,,,,,,,,,,,1,,,,,1,,1,1
2da2ba47aee1cd88,,,,,1,,,,,,,,,,,1,1,,1,,,,1,,
2da6330288158e9c,,,,,,,1,,,,,,,,,1,,,,,,,,1,
2dbdd27603e44256,,,,,,,,,,,,,,,,,1,,1,,,,,,
2dcc479693350ffd,1,,,,1,1,,,,,,,,,,1,,,1,,,,,1,1
2ded760ce0ad65e7,,,,,,,,,,,,,,,,,,,,,,,,,
2df30a2ec8ec88d4,,,,,,,,,,,1,,,,,,,,,,,,,1,
2e0d060a8e63403d,,,,,,,,,,,,,,,,,1,,1,,,,1,,
2e01c6470068d5fc,,,,,1,,,,,,1,,,,,,,,,,,,,,
2e9c852f10aed668,,,,,,,1,,,,,,,,,,1,,,,,,,1,
2e25ffc2918de92a,,,,1,,1,,,,1,,,,,,,,,,,,,,1,1
2e87cb2d2d5b8a67,,,,,,,1,,,,,,,,,,,,1,,,,,1,1
2e354a28299870bf,,,,,,,,,,,,,,,,,,,,,,,,,
2e596ebfd2e5c4db,,,,,,1,,1,,1,,1,,,,,,,,,,,,1,1
2e5334fa51616a52,,,,,1,,,,,,,,,,,1,1,,,,,,,,
2eb871d4c41c0797,,,,,,,,,,,,,,,,,,,,,,,,,
2ebc2f269d45534d,1,,,,1,,,,,,,,,,,,1,,1,,,,,,
2ec978b97a3c1da8,,,1,,,1,,,,1,,,,,,,,,,,,,,1,1
2ecd724394c7899c,,,,,,,1,,,,,,,,,,1,,,,,,,1,
2ecf6d297ed1e22d,,,,,1,1,,,,1,,,,,,,,,1,,,,,1,1
2ed879e4be6c0a2d,,,,,1,1,,,,,,,,,,,,,,,,,,1,1
2ed4810185e9dd53,,,,,,,,,,,,,,,,,,,,,,,,1,1
2ee8ab305463e901,,,,,,,,,,,1,,,,,,,,,,1,,,,
2ef4affd931a15f4,,,,,1,,,,,,,,,,,,1,,1,,,,,,
2f04f8f22e7897c6,1,,,,,,,,,,,,,,,,1,,,,,,,,1
2f577a5f773642d4,,,,,1,1,,,,1,1,,,,,,,,,,,,,,
2f4369c0a391c437,,,,,,,,,1,1,1,,,,,,,,,1,,,,,
2f6655e097b908e1,,,,,,,,,,1,1,,,,,,,,,1,,,,,
2fb616c4f0b7d7cc,,,1,1,,1,,,,1,1,,,,,,,,,,,,,1,1
2fcdf6e0647f3333,,,,,1,1,,,,,,,,,,,,,1,,,,,1,1
2fe73583a00c381d,,,,,,,,,,,1,,,,,,,,,1,,,,,
03a0775162c71100,,,,,,,,,,,,,,,1,,1,,,,1,,,1,1
03abf85fbae6ceaa,,,,,,,,,,,,,,,,,1,,,,,,,,
03ac8b1dd6db728b,1,,,1,1,1,1,,,,,1,,,,,,,,,,,,1,1
3a1d9416deb7de88,,,,,,,,,,,,,,,,,1,,1,,,,,,
3a3d26d33f8f7a1f,,,,,1,,,,,,,,,,,,1,,1,,,,,,
3a4b31bca6d0df2e,,,,,,,,,,1,1,,,,,,,,,1,,,,,
3a47a2f8236c8378,,,,1,1,1,1,,,,,,,,,,1,,,,,,,1,1
3a60b3d1c8db508c,,,,,,1,,,,,,,,,,,,,,,,,,1,1
3a8129b023032713,1,,,,,,,,,,1,,,,,1,,,1,,,,,,
3a91292fc5ee893c,,,,,,1,,,,,1,,,,,,1,,,,,,,1,1
3a339427fea654cb,,,,,1,,,,,,,,,,,,1,,1,,,,,1,1
3a779071a540a3a2,,,,,,,1,,,,,,,,,,,,,,,,,1,
3a3255202e45c0ff,,,,,1,1,,,,1,1,,,,,,,,,1,,,,1,1
3accc1de7bb448ed,,,,,,,1,,,,,,,,,,1,,,,,,,1,
3ae5946dec5d5f14,,,,,,,,,,1,1,,,,,,,,,1,,,,,
3af2bd1dd1f8f837,,,,,,1,,,,1,1,,,,,,,,,1,,1,,1,1
3afa2fc6ffe00a29,,,,,,,,,,,,,,,,,1,,,,,,,,
3b0f87dd5db077f0,1,,,,1,,,,,1,,,,,,,,,,,,,,,1
3b1cfdbc7616a8c8,,,,,,,,,,,,,,,,,1,,1,,,,1,,
3b1e6e65fbd52580,,,,,1,1,,,,,,,,,,,,,,,1,,,1,1
3b02dbd10920b8b0,,,,,,1,,,,1,1,,,,,,,,,1,1,,,,
3b3f2825503c4bd7,,,,,,,,,,,1,,,,,,1,,,1,,,,,
3b12c4f7edd1eedb,1,,1,,,1,,,,,,,,,,,1,,,,,,,1,1
3b28fbcc74f71916,,,,,,,1,,,,,,,,,,,,,,,,,1,
3b44cae94f45e7db,,,,,,,,,,,,,,,,,1,,,,,,,,
3b243ec75b2429dd,1,,,,1,1,,,,1,,,,,,,,,,,,,,1,1
3b481f7bf1be9c11,,,,,,,,,,1,1,,,,,,,,,1,,,,,
3b825ea9d84a44ee,,,,,,,1,,,,,,,,,,1,,,,,,,1,
3b953530d59d434c,,,,,,,1,,,1,,,,,,,,,,,,,,1,
3bc2b95b280acc81,,,,,,1,,,,,,,,,,,,,,,,,,1,1
3bc4358d0edbb0f6,,,,,,,,,,,1,,,,,,,,,1,,,,,
3c2f5e5c8e833649,,,,,1,,,,,,,,,,,,1,,1,,,,,,
3c3cb6c4365197e4,,,,,,,,,,,,,,,,,1,,,,,,,,
3c6c6ce8aad32d04,1,,,,1,1,,,,,,,,,,1,1,,1,,,,,1,1
3c6e5cb6f18c0365,1,,,,,1,,,,,,,,,,,1,,,,,,,1,1
3c14f9af71394770,,,,,,,,,,1,1,,,,,,,,,1,,,,,
3c40bd673692814c,,,,,1,,,,,,,,,,,,1,,1,,,,,,
3c83ee65c4b3adbc,,,,,,,,,,1,1,,,,,,,,,1,,,,,
3c27666c417ee021,,,,,,,,,,1,,,,,,,,,,,,,,,
3c1925831e764226,,,,1,1,1,1,,,1,,,,,,,1,,,,,,,1,1
3ca44a7f2d6f4a3f,,,,,1,1,,,,,,,,,,1,1,,1,,,,,1,1
3cdf4e7ee8a900c4,,,,,,,,,,,,,,,,1,1,,1,,,,,,
3cf2b33e9e01574f,,,,,,1,,,,1,1,,,,,,1,,,,1,1,,1,1
3cfd8d1a8dc19e16,,,,,,,,,,,1,,,,,1,1,,,,,,1,,
3d4b1de3236a2ae7,,,,1,,,1,,,1,,,,,,,,,,,,,,1,
3d5fad90706bd76d,1,,,,1,,,,,,,,,,,,1,,,,,,,,
3d7a9b76e4a14db1,,,,,,1,,,,,,,,,,,,,,,,,,1,1
3d7b3f5affa20c8c,,,,,,,,,,1,1,,,,,,1,,,1,,,,,
3d8b56aee4f87373,1,,,,1,,,,,1,,,,,,,,,1,,,,,,
3d9fbba086653aa5,,,,,,1,1,,,,,,1,,,,,,,,,,,1,1
3d22eabbdc36b765,,,,,,,,,,1,1,,,,,,,,1,,,,,,
3d60c7c546ccab76,1,,,,1,,,,,,,,,,,,1,,1,,,,1,,
3d281cd4e2eac55d,1,,,,,,,,,,,,,,,,,,1,,,,1,,
3d8264239bfedad9,1,,,,1,,,,,1,,,,,,,1,,1,,,,,,
3d10469999653ce9,,,,,,,,,1,1,1,,,,,,,,,1,,1,,1,1
3da1c9ad24d66c04,,,1,,,,,,,1,,,,,,,,,,,,,,,
3dc26c257e4d3d9a,,,,,,1,,,,1,1,,,,1,,,,,,1,,,1,1
3dc217d78747fa15,,,,,,1,,,,,,,,,,,1,,,,,,,1,1
3dc97071ba03f8f8,,,,,,1,,,,,,,,,,,,,,,1,,,1,1
3dd2767e9d5d83d8,,,,,,,,,,,,,,,,1,1,,1,,,,1,,
3de993090575e1e1,,,,,,,,,,1,,,,,,,,,1,,,,,,
3e2ccde1261061fc,,,,,,,1,,,,,,,,,,1,,,,,,,1,
3e2e0ae41f1cc626,,,,,,,1,,,,1,,,,,1,1,,,,,,,1,
3e7b8ebd2dcbba32,,,,,,,1,,,,1,,,,,,1,,,,,,,1,
3e075c23fde7edc8,,,,,,1,,,,,,,1,,,,1,,1,,,,,1,1
3e41121bc185611f,1,,,,,,,,,,,,,,,,,,1,,,,,,
3e97152fc882738c,,,,,,1,,,,1,,,,1,,,,,,,,,,,
3e856829e6b74d1d,,,,1,,1,,,,,,,,,,,,,,,,,,1,1
3ea0739106e065a6,1,,1,,,1,,,,,,,,,,,,,1,,,,,1,1
3ebf5fa7eaae45c0,,,,,,,,,,,,,,,,1,,,,,,,,,
3edd6e3b2b30f57e,,,,,1,,,,,,,,,,,,,,1,,,,,,
3f0cfc0136335c65,,1,,,1,,,,,,,,,,,,,,,,,,,,
3f2be467516b7eed,,,,,1,1,,,,1,,,,,,,,,,,,,,1,1
3f7c741f9b39d240,1,,,,,,,,,,,,,,,,1,,1,,,,,,
3f8d419180fcb573,,,,,,,,,,,1,,,,,,,,,,,,,,
3f8ece6283f3c56c,,,,,,1,,,,,,,,,,,,,,,1,,,,
3f40f02d9827a692,,,,,,,,,,,,,,,,,1,,,,,,,,
3f83c82d01dedb91,,,,,1,,,,,,,,,,,1,1,,1,,,,,,
3f268ccfd399a8ff,,,,,1,,,,,,,,,,,,,,,,,,,,
3f476bc1374dcace,,,,,,1,,,,,,,,,,,,,,1,,,,1,1
3fcbe523440570d9,,,,,,1,,,,1,1,,,,,,,1,,1,,,,1,1
3fcfd2eecfd13213,,,1,,1,1,,,,,,,,,,,,,,,1,,,1,1
3fe0ed7d53536a07,1,,,,1,,,,,1,,,,,,,1,,1,,,,,,
3fece467cdee7eb4,,,,,,,1,,,,,,,,,1,,,,,,,,,
3fed8dd5718fb2d4,,,,,,,1,,,1,1,,,,,,,,,1,,,,,
3ff5328a07b18c28,,,,1,,,1,,,,,,,,,,,,,,,,,1,1
3ff85554115f8cc2,,,,,,,,,,,,,,,,,,,,,,,,,
04c7f28def2287ce,,,,,,,,,,,,,,,,,,,,,,,,1,1
04d99f31fa5f4602,1,,,,1,1,,,,,,,,,,,1,,1,,,,,1,1
04e353c1d8d726b4,,,,,,,,,,1,1,,,,,,,,,1,,,,,
04fc06e1cd489eff,1,,,,1,,,,,,,,,,,1,1,,1,,,,,,
4a25f1fba1f6ac60,,,,,,,,,1,,1,,,,,,,,,1,,,,,
4a82af2f402f4b55,,,,,1,,,,,,,,,,,,,,,,,,,,
4a273dd6ec3efc58,,,,,,1,1,,,,,,,,,,,,,,,,,1,1
4a682ca160c3e2c2,,,,,,1,,,,1,,1,,,,,,,,,,,,1,1
4a16463cc0ef199a,1,,,,1,,,,,,,,,,,,1,,,,,,1,,
4aab93002b968500,,,,,,,,,,,1,,,,,,1,,,1,,,,,
4ac91d92b67b599e,,,,,,,,,,,,,,,,,,,,,,,,,
4acbf9e942907ccc,,,,,,1,,,,,,,,,,1,1,,1,,,,,1,1
4acf140baf27c62f,1,,,,,1,,,,,,,,,,,1,,,,,,,1,1
4afd86685cdd842e,,,,,,,1,,,,,,,,,,1,,,,,,,1,
4b6de0c45f544178,,,,,,1,,,,,,,,,,,,,,,,,,1,1
4b7eadc0e5fdc980,,,,,,,,,,,,,,,,1,1,,1,,,,1,1,1
4b8f015c907f87f5,,,,,,,,,,1,1,,,,,,,,,1,,,,,
4b03233bd0db4335,,,,,1,,,,,1,1,,,,,,,,,1,,,,,
4ba8f8bfd407ac74,,,,,1,,,,,,,,,,,1,1,,1,,,,,1,1
4bcd99e6ce9e05cb,,,,,,1,,,,,,,,,,,,,,,,,,1,1
4bd161643913af21,,,,1,,,,,,,,,,,,,,,,,,,,,
4bee44348bae4289,,,,,1,,,,,,,,,,,,1,,1,,,,,,
4bf7b2e9cbdc9721,,,,,,1,,,,,,,,,,,1,,1,,,,,1,1
4bf20fb66afa3475,,,,,,,1,,,,,,,,,,1,,,,,,,1,
4bf6267f5cc23de9,,,,,,,,,,,,,,,,1,,,1,,,,1,,
4c0bb6c4d7754800,,,1,,1,1,,,,1,,,,,,,1,,1,,,,,1,1
4c1f082ea5f31db4,,,,,1,1,,,,,,,,,,,,,1,,,,1,1,1
4c8f87739eae0cca,,,,,,,1,,,,,,,,,1,,,,,,,,1,
4c9e04430c3f9cae,,,1,,1,1,,,,1,,,,,,,1,,1,,,,,1,1
4c107214eb81077a,,,,,,,1,,,1,1,,,,,,,,,1,,,,,
4cca0331051eb601,1,,,,,1,,,,,,,,,,1,,,,,,,,1,1
4cd513f2ac823f7c,,,,,,1,,,,,,,,,,,1,,1,,,,1,1,1
4cd819bad039dbd8,,,,,,,,,,1,1,,,,,,,,,1,,,,,
4cd7691ee7b0ef9c,,,,,,,,,,,,,,,,,1,,,,,,,,
4cecfeefb15443b7,,,,,,1,1,,,1,,,,,,,,,,,,,,1,1
4cff3af1e869dd88,,,,,1,1,,,,1,,,,,,,,,,,,,,1,1
4d1a670518ab565c,,,,,,,,,,1,1,,,,,,,,,1,,,,,
4d2a58389bc580d4,,,,1,,1,1,,,,,,,,,,1,,,,,,,1,1
4d10fa3a0898af8f,1,,,,,,,,,1,,,,,,,,,,,,1,,,
4d34d21663f55fa8,,,,,,,,,,,,,,1,,1,,,1,,,,1,,
4d59e01f5fd77665,,,,,1,,,,,,,,,,,,,,1,,,,,,
4d17686b27bd13b5,,,,,,,,,,1,1,,,,,,,,,1,,,,,
4d375418c1e8457c,,,,,,,,,,,,,,,,,1,,,,,,,,
4dad046c03d014db,,,,,,1,,,1,,,,,,,1,,,,1,,,1,1,
4db5d762a73c5abc,,,1,,1,,,,,1,,,,,,,,,,,,,,1,1
4db9da983223cc99,,,,,,,,,,,,,,,,,1,,,,,,,,
4dbacd9fc2635e59,,,,,1,,,,,,,,,,,,1,,,,,,,,
4dc5d6c869f367a8,,,,,,1,,,,,,,,,1,1,,,,,,,,1,1
4dd4ecd2137e4e18,,,,,1,,1,,,,,,,,,,1,,,,,,,1,
4ddb0a9b2f7e3274,,,,,,,,,,,,,,,,,1,,,,,,,,
4ded985c48c6ceb2,,,,,1,1,,,,,,1,,,,,,,1,1,,,,1,1
4dfdc9df8d9c636c,,,,,,,1,,,,,,,,,,1,,1,,,,1,1,
4e0bdba01c23adb7,,,,,,,,,,1,1,,,,,,,,,1,,,,,
4e3bea0e5e194eb4,,,,,1,,,,,,,,,,,,,,1,,,,1,,
4e5eeac8b27bd6fa,,,,,,,,,,1,,,,,,,1,,,,1,,,,
4e9f3deccce7ef53,,,,,,,,,,,,,,,,,1,,,,,,,1,1
4e73cdf1068beb80,1,,,,1,1,,,,,,,,,,1,1,,1,,,,1,1,1
